Code,KB,Sales,Month,Year
45321,Office supplies and stationery stores,833,2,2019
45322,"Gift, novelty, and souvenir stores",1107,2,2019
45330,Used merchandise stores,1342,2,2019
454,Nonstore retailers,54156,2,2019
4541,Electronic shopping and mail-order houses,45894,2,2019
45431,Fuel dealers,3987,2,2019
722,Food services and drinking places,57307,2,2019
7224,Drinking places,0,2,2019
7225,Restaurants and other eating places,50014,2,2019
722511,Full service restaurants,24992,2,2019
"722513, 722514, 722515",Limited service eating places,25022,2,2019
441,Motor vehicle and parts dealers,89728,2,2018
"44,114,412",Automobile and other motor vehicle dealers,82701,2,2018
4411,Automobile dealers,77775,2,2018
44111,New car dealers,67635,2,2018
44112,Used car dealers,10140,2,2018
4413,"Automotive parts, acc., and tire stores",7027,2,2018
"442,443","Furniture, home furn, electronics, and appliance stores",15673,2,2018
442,Furniture and home furnishings stores,8701,2,2018
4421,Furniture stores,4798,2,2018
4422,Home furnishings stores,3903,2,2018
44221,Floor covering stores,0,2,2018
442299,All other home furnishings stores,2057,2,2018
443,Electronics and appliance stores,6972,2,2018
443141,Household appliance stores,1221,2,2018
443142,Electronics stores,5751,2,2018
444,Building mat. and garden equip. and supplies dealers,23507,2,2018
4441,Building mat. and supplies dealers,20764,2,2018
44412,Paint and wallpaper stores,821,2,2018
44413,Hardware stores,1826,2,2018
445,Food and beverage stores,56483,2,2018
4451,Grocery stores,50967,2,2018
44511,Supermarkets and other grocery (except convenience) stores,48708,2,2018
4453,"Beer, wine, and liquor stores",3792,2,2018
446,Health and personal care stores,25667,2,2018
44611,Pharmacies and drug stores,21410,2,2018
447,Gasoline stations,36879,2,2018
448,Clothing and clothing access. stores,18424,2,2018
4481,Clothing stores,12926,2,2018
44811,Men's clothing stores,626,2,2018
44812,Women's clothing stores,2635,2,2018
44814,Family clothing stores,7061,2,2018
44819,Other clothing stores,1251,2,2018
4482,Shoe stores,2696,2,2018
44831,Jewelry stores,2569,2,2018
451,"Sporting goods, hobby, musical instrument, and book stores",5673,2,2018
45111,Sporting goods stores,3076,2,2018
45112,"Hobby, toy, and game stores",1230,2,2018
451211,Book stores,646,2,2018
452,General merchandise stores,50770,2,2018
4521,Department stores,9663,2,2018
452111,Department stores(excl. discount department stores),3041,2,2018
452112,Discount dept. stores,6622,2,2018
4529,Other general merchandise stores,41107,2,2018
45291,Warehouse clubs and superstores,35461,2,2018
45299,All other gen. merchandise stores,5646,2,2018
453,Miscellaneous store retailers,9235,2,2018
4532,"Office supplies, stationery, and gift stores",2071,2,2018
45321,Office supplies and stationery stores,887,2,2018
45322,"Gift, novelty, and souvenir stores",1184,2,2018
45330,Used merchandise stores,1366,2,2018
454,Nonstore retailers,48632,2,2018
4541,Electronic shopping and mail-order houses,40701,2,2018
45431,Fuel dealers,3807,2,2018
722,Food services and drinking places,54702,2,2018
7224,Drinking places,2009,2,2018
7225,Restaurants and other eating places,47531,2,2018
722511,Full service restaurants,24068,2,2018
"722513, 722514, 722515",Limited service eating places,23463,2,2018
441,Motor vehicle and parts dealers,89414,2,2017
"44,114,412",Automobile and other motor vehicle dealers,82482,2,2017
4411,Automobile dealers,77677,2,2017
44111,New car dealers,67908,2,2017
44112,Used car dealers,9769,2,2017
4413,"Automotive parts, acc., and tire stores",6932,2,2017
"442,443","Furniture, home furn, electronics, and appliance stores",15096,2,2017
442,Furniture and home furnishings stores,8377,2,2017
4421,Furniture stores,4757,2,2017
4422,Home furnishings stores,3620,2,2017
44221,Floor covering stores,1510,2,2017
442299,All other home furnishings stores,1980,2,2017
443,Electronics and appliance stores,6719,2,2017
443141,Household appliance stores,1290,2,2017
443142,Electronics stores,5429,2,2017
444,Building mat. and garden equip. and supplies dealers,22494,2,2017
4441,Building mat. and supplies dealers,19963,2,2017
44412,Paint and wallpaper stores,772,2,2017
44413,Hardware stores,1696,2,2017
445,Food and beverage stores,54492,2,2017
4451,Grocery stores,49212,2,2017
44511,Supermarkets and other grocery (except convenience) stores,47201,2,2017
4453,"Beer, wine, and liquor stores",3606,2,2017
446,Health and personal care stores,24718,2,2017
44611,Pharmacies and drug stores,20599,2,2017
447,Gasoline stations,34210,2,2017
448,Clothing and clothing access. stores,18020,2,2017
4481,Clothing stores,12703,2,2017
44811,Men's clothing stores,644,2,2017
44812,Women's clothing stores,2668,2,2017
44814,Family clothing stores,6542,2,2017
44819,Other clothing stores,1444,2,2017
4482,Shoe stores,2674,2,2017
44831,Jewelry stores,2435,2,2017
451,"Sporting goods, hobby, musical instrument, and book stores",5549,2,2017
45111,Sporting goods stores,3030,2,2017
45112,"Hobby, toy, and game stores",1181,2,2017
451211,Book stores,672,2,2017
452,General merchandise stores,49571,2,2017
4521,Department stores,9909,2,2017
452111,Department stores(excl. discount department stores),3266,2,2017
452112,Discount dept. stores,6643,2,2017
4529,Other general merchandise stores,39662,2,2017
45291,Warehouse clubs and superstores,34246,2,2017
45299,All other gen. merchandise stores,5416,2,2017
453,Miscellaneous store retailers,8804,2,2017
4532,"Office supplies, stationery, and gift stores",2059,2,2017
45321,Office supplies and stationery stores,971,2,2017
45322,"Gift, novelty, and souvenir stores",1088,2,2017
45330,Used merchandise stores,1249,2,2017
454,Nonstore retailers,43112,2,2017
4541,Electronic shopping and mail-order houses,35954,2,2017
45431,Fuel dealers,3375,2,2017
722,Food services and drinking places,52835,2,2017
7224,Drinking places,1955,2,2017
7225,Restaurants and other eating places,45966,2,2017
722511,Full service restaurants,23611,2,2017
"722513, 722514, 722515",Limited service eating places,22355,2,2017
441,Motor vehicle and parts dealers,90213,2,2016
"44,114,412",Automobile and other motor vehicle dealers,82909,2,2016
4411,Automobile dealers,78320,2,2016
44111,New car dealers,67800,2,2016
44112,Used car dealers,10520,2,2016
4413,"Automotive parts, acc., and tire stores",7304,2,2016
"442,443","Furniture, home furn, electronics, and appliance stores",15986,2,2016
442,Furniture and home furnishings stores,8507,2,2016
4421,Furniture stores,4818,2,2016
4422,Home furnishings stores,3689,2,2016
44221,Floor covering stores,1503,2,2016
442299,All other home furnishings stores,2075,2,2016
443,Electronics and appliance stores,7479,2,2016
443141,Household appliance stores,1348,2,2016
443142,Electronics stores,6131,2,2016
444,Building mat. and garden equip. and supplies dealers,22538,2,2016
4441,Building mat. and supplies dealers,20032,2,2016
44412,Paint and wallpaper stores,755,2,2016
44413,Hardware stores,1757,2,2016
445,Food and beverage stores,54145,2,2016
4451,Grocery stores,48747,2,2016
44511,Supermarkets and other grocery (except convenience) stores,46788,2,2016
4453,"Beer, wine, and liquor stores",3642,2,2016
446,Health and personal care stores,26171,2,2016
44611,Pharmacies and drug stores,21895,2,2016
447,Gasoline stations,28987,2,2016
448,Clothing and clothing access. stores,19011,2,2016
4481,Clothing stores,13188,2,2016
44811,Men's clothing stores,672,2,2016
44812,Women's clothing stores,2865,2,2016
44814,Family clothing stores,6842,2,2016
44819,Other clothing stores,1367,2,2016
4482,Shoe stores,2945,2,2016
44831,Jewelry stores,2637,2,2016
451,"Sporting goods, hobby, musical instrument, and book stores",5844,2,2016
45111,Sporting goods stores,3235,2,2016
45112,"Hobby, toy, and game stores",1221,2,2016
451211,Book stores,687,2,2016
452,General merchandise stores,51619,2,2016
4521,Department stores,11074,2,2016
452111,Department stores(excl. discount department stores),3727,2,2016
452112,Discount dept. stores,7347,2,2016
4529,Other general merchandise stores,40545,2,2016
45291,Warehouse clubs and superstores,35117,2,2016
